accession,tax_id,organism_name,common_name
GCF_000001405.40,9606,Homo sapiens,human
GCF_000001635.27,10090,Mus musculus,house mouse
GCF_019923935.1,89462,Bubalus bubalis,water buffalo
GCA_023701655.1,2918886,Ovis ammon polii x Ovis aries,
GCA_032405125.1,34865,Capricornis sumatraensis,Sumatran serow
GCA_907164505.1,83762,Acomys kempi,Kemp's spiny mouse
GCF_015227675.2,10116,Rattus norvegicus,Norway rat
GCF_000003025.6,9823,Sus scrofa,pig
GCF_002263795.3,9913,Bos taurus,cattle
GCF_011100685.1,9615,Canis lupus familiaris,dog
GCF_003254725.2,286419,Canis lupus dingo,dingo
GCF_003339765.1,9544,Macaca mulatta,Rhesus monkey
GCF_016772045.1,9940,Ovis aries,sheep
GCF_001704415.2,9925,Capra hircus,goat
GCF_012559485.2,9541,Macaca fascicularis,crab-eating macaque
GCF_009806435.1,9986,Oryctolagus cuniculus,rabbit
GCF_002863925.1,9796,Equus caballus,horse
GCF_018350175.1,9685,Felis catus,domestic cat
GCF_011100555.1,9483,Callithrix jacchus,white-tufted-ear marmoset
GCF_000247795.1,9915,Bos indicus,zebu cattle
GCA_005887515.3,30521,Bos grunniens,domestic yak
GCF_028858775.1,9598,Pan troglodytes,chimpanzee
GCF_011064425.1,10117,Rattus rattus,black rat
GCF_027887165.1,13616,Monodelphis domestica,gray short-tailed opossum
GCF_008728515.1,9555,Papio anubis,olive baboon
GCF_016881025.1,43179,Ictidomys tridecemlineatus,thirteen-lined ground squirrel
GCF_016077325.2,9793,Equus asinus,ass
GCF_011762595.1,9739,Tursiops truncatus,common bottlenose dolphin
GCF_003704035.1,230844,Peromyscus maniculatus bairdii,prairie deer mouse
GCF_004115265.2,59479,Rhinolophus ferrumequinum,greater horseshoe bat
GCF_002007445.2,9646,Ailuropoda melanoleuca,giant panda
GCF_018350195.1,9694,Panthera tigris,tiger
GCF_000803125.2,9838,Camelus dromedarius,Arabian camel
GCF_020171115.1,452646,Neogale vison,American mink
GCF_902635505.1,9305,Sarcophilus harrisii,Tasmanian devil
GCA_028372415.1,9315,Notamacropus eugenii,tammar wallaby
GCF_000317375.1,79684,Microtus ochrogaster,prairie vole
GCF_029281585.1,9595,Gorilla gorilla gorilla,western lowland gorilla
GCF_030445035.1,9361,Dasypus novemcinctus,nine-banded armadillo
GCF_004664715.2,10041,Peromyscus leucopus,white-footed mouse
GCF_003369695.1,30522,Bos indicus x Bos taurus,hybrid cattle
GCF_004115215.2,9258,Ornithorhynchus anatinus,platypus
GCF_023065955.2,9644,Ursus arctos,brown bear
GCF_024166365.1,99487,Elephas maximus indicus,
GCA_949782905.1,228257,Rangifer tarandus platyrhyncus,
GCA_029890205.1,10068,Acomys cahirinus,Egyptian spiny mouse
GCF_007565055.1,61622,Rhinopithecus roxellana,golden snub-nosed monkey
GCF_910594005.1,9860,Cervus elaphus,red deer
GCF_028885625.1,9600,Pongo pygmaeus,Bornean orangutan
GCF_028885655.1,9601,Pongo abelii,Sumatran orangutan
GCF_015852505.1,9261,Tachyglossus aculeatus,Australian echidna
GCF_027475565.1,32536,Acinonyx jubatus,cheetah
GCA_028021215.1,9764,Eschrichtius robustus,grey whale
GCF_018345385.1,494514,Vulpes lagopus,Arctic fox
GCF_030020395.1,143292,Manis pentadactyla,Chinese pangolin
GCF_022682495.1,9430,Desmodus rotundus,common vampire bat
GCF_021288785.2,9716,Mirounga angustirostris,Northern elephant seal
GCF_016509475.1,37029,Prionailurus bengalensis,leopard cat
GCF_029289425.1,9597,Pan paniscus,pygmy chimpanzee
GCF_006542625.1,61853,Nomascus leucogenys,northern white-cheeked gibbon
GCF_030435755.1,9978,Ochotona princeps,American pika
GCF_002837175.3,9755,Physeter catodon,sperm whale
GCA_000978405.1,9923,Capra aegagrus,wild goat
GCA_020976825.1,9872,Odocoileus hemionus,mule deer
GCF_023159225.1,214514,Perognathus longimembris pacificus,Pacific pocket mouse
GCA_028583565.1,230172,Ovis ammon polii,
GCF_018350215.1,9689,Panthera leo,lion
GCF_937001465.1,9733,Orcinus orca,killer whale
GCF_009762305.2,9704,Zalophus californianus,California sea lion
