organism_name,common_name,description
Homo sapiens,human,Description
Mus musculus,house mouse,Description
Bubalus bubalis,water buffalo,Description
Ovis ammon polii x Ovis aries,,Description
Capricornis sumatraensis,Sumatran serow,Description
Acomys kempi,Kemp's spiny mouse,Description
Rattus norvegicus,Norway rat,Description
Sus scrofa,pig,Description
Bos taurus,cattle,Description
Canis lupus familiaris,dog,Description
Canis lupus dingo,dingo,Description
Macaca mulatta,Rhesus monkey,Description
Ovis aries,sheep,Description
Capra hircus,goat,Description
Macaca fascicularis,crab-eating macaque,Description
Oryctolagus cuniculus,rabbit,Description
Equus caballus,horse,Description
Felis catus,domestic cat,Description
Callithrix jacchus,white-tufted-ear marmoset,Description
Bos indicus,zebu cattle,Description
Bos grunniens,domestic yak,Description
Pan troglodytes,chimpanzee,Description
Rattus rattus,black rat,Description
Monodelphis domestica,gray short-tailed opossum,Description
Papio anubis,olive baboon,Description
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,Description
Equus asinus,ass,Description
Tursiops truncatus,common bottlenose dolphin,Description
Peromyscus maniculatus bairdii,prairie deer mouse,Description
Rhinolophus ferrumequinum,greater horseshoe bat,Description
Ailuropoda melanoleuca,giant panda,Description
Panthera tigris,tiger,Description
Camelus dromedarius,Arabian camel,Description
Neogale vison,American mink,Description
Sarcophilus harrisii,Tasmanian devil,Description
Notamacropus eugenii,tammar wallaby,Description
Microtus ochrogaster,prairie vole,Description
Gorilla gorilla gorilla,western lowland gorilla,Description
Dasypus novemcinctus,nine-banded armadillo,Description
Peromyscus leucopus,white-footed mouse,Description
Bos indicus x Bos taurus,hybrid cattle,Description
Ornithorhynchus anatinus,platypus,Description
Ursus arctos,brown bear,Description
Elephas maximus indicus,,Description
Rangifer tarandus platyrhyncus,,Description
Acomys cahirinus,Egyptian spiny mouse,Description
Rhinopithecus roxellana,golden snub-nosed monkey,Description
Cervus elaphus,red deer,Description
Pongo pygmaeus,Bornean orangutan,Description
Pongo abelii,Sumatran orangutan,Description
Tachyglossus aculeatus,Australian echidna,Description
Acinonyx jubatus,cheetah,Description
Eschrichtius robustus,grey whale,Description
Vulpes lagopus,Arctic fox,Description
Manis pentadactyla,Chinese pangolin,Description
Desmodus rotundus,common vampire bat,Description
Mirounga angustirostris,Northern elephant seal,Description
Prionailurus bengalensis,leopard cat,Description
Pan paniscus,pygmy chimpanzee,Description
Nomascus leucogenys,northern white-cheeked gibbon,Description
Ochotona princeps,American pika,Description
Physeter catodon,sperm whale,Description
Capra aegagrus,wild goat,Description
Odocoileus hemionus,mule deer,Description
Perognathus longimembris pacificus,Pacific pocket mouse,Description
Ovis ammon polii,,Description
Panthera leo,lion,Description
Orcinus orca,killer whale,Description
Zalophus californianus,California sea lion,Description
Lutra lutra,Eurasian river otter,Description
Arvicanthis niloticus,Nile rat,Description
Mus spretus,western wild mouse,Description
Sorex araneus,European shrew,Description
Hippopotamus amphibius kiboko,,Description
Equus quagga,plains zebra,Description
Peromyscus polionotus subgriseus,,Description
Bubalus carabanensis,carabao,Description
Tadarida brasiliensis,Brazilian free-tailed bat,Description
Meles meles,Eurasian badger,Description
Bos grunniens x Bos taurus,dzo,Description
Tapirus indicus,Asiatic tapir,Description
Eptesicus fuscus,big brown bat,Description
Kogia breviceps,pygmy sperm whale,Description
Ovis orientalis,Asiatic mouflon,Description
Antrozous pallidus,pallid bat,Description
Nycticebus coucang,slow loris,Description
Dromiciops gliroides,monito del monte,Description
Lemur catta,Ring-tailed lemur,Description
Jaculus jaculus,lesser Egyptian jerboa,Description
Sciurus carolinensis,gray squirrel,Description
Bos gaurus,gaur,Description
Paguma larvata,masked palm civet,Description
Phyllostomus discolor,pale spear-nosed bat,Description
Balaenoptera musculus,Blue whale,Description
Pipistrellus pipistrellus,common pipistrelle,Description
Trichosurus vulpecula,common brushtail,Description
Delphinus delphis,saddleback dolphin,Description
Balaenoptera acutorostrata,minke whale,Description
Erinaceus europaeus,western European hedgehog,Description
Microcebus murinus,gray mouse lemur,Description
Lepus timidus,Mountain hare,Description
Nasalis larvatus,proboscis monkey,Description
Macaca thibetana thibetana,,Description
Diceros bicornis minor,,Description
Symphalangus syndactylus,siamang,Description
Cynopterus sphinx,Indian short-nosed fruit bat,Description
Heterohyrax brucei,yellow-spotted hyrax,Description
Prionailurus viverrinus,fishing cat,Description
Martes flavigula,yellow-throated marten,Description
Budorcas taxicolor,takin,Description
Urocyon cinereoargenteus,gray fox,Description
Dugong dugon,dugong,Description
Neofelis nebulosa,Clouded leopard,Description
Eubalaena glacialis,North Atlantic right whale,Description
Hipposideros larvatus,,Description
Choloepus didactylus,southern two-toed sloth,Description
Phocoena sinus,vaquita,Description
Erethizon dorsatum,North American porcupine,Description
Muntiacus reevesi,Reeves' muntjac,Description
Sciurus vulgaris,Eurasian red squirrel,Description
Tamandua tetradactyla,southern tamandua,Description
Tamias sibiricus,Siberian chipmunk,Description
Macaca cyclopis,Taiwan macaque,Description
Camelus ferus,Wild Bactrian camel,Description
Apodemus sylvaticus,European woodmouse,Description
Myotis daubentonii,Daubenton's bat,Description
Muscardinus avellanarius,hazel dormouse,Description
Onychomys torridus,southern grasshopper mouse,Description
Martes martes,European pine marten,Description
Cervus canadensis,elk,Description
Theropithecus gelada,gelada,Description
Mustela nigripes,black-footed ferret,Description
Suricata suricatta,meerkat,Description
Grampus griseus,Risso's dolphin,Description
Panthera onca,jaguar,Description
Papio papio,Guinea baboon,Description
Procyon lotor,raccoon,Description
Leopardus geoffroyi,Geoffroy's cat,Description
Saguinus oedipus,cotton-top tamarin,Description
Felis chaus,jungle cat,Description
Mustela lutreola,European mink,Description
Cynocephalus volans,Philippine flying lemur,Description
Okapia johnstoni,okapi,Description
Pipistrellus pygmaeus,soprano pipistrelle,Description
Vulpes ferrilata,Tibetan sand fox,Description
Antechinus flavipes,yellow-footed antechinus,Description
Mesoplodon densirostris,Blainville's beaked whale,Description
Vulpes corsac,Corsac fox,Description
Balaenoptera ricei,Rice's whale,Description
Mustela erminea,ermine,Description
Sylvilagus floridanus,eastern cottontail,Description
Chionomys nivalis,European snow vole,Description
Nycticebus bengalensis,Bengal slow loris,Description
Hylobates pileatus,pileated gibbon,Description
Phacochoerus africanus,Common warthog,Description
Lynx canadensis,Canada lynx,Description
Arvicola amphibius,Eurasian water vole,Description
Suncus etruscus,white-toothed pygmy shrew,Description
Acomys russatus,golden spiny mouse,Description
Stenella coeruleoalba,striped dolphin,Description
Lagenorhynchus albirostris,white-beaked dolphin,Description
Hyperoodon ampullatus,northern bottlenose whale,Description
Plecotus auritus,brown big-eared bat,Description
Peromyscus eremicus,cactus mouse,Description
Cervus hanglu yarkandensis,Yarkand deer,Description
Muntiacus muntjak,muntjak,Description
Neomonachus schauinslandi,Hawaiian monk seal,Description
Panthera uncia,snow leopard,Description
Cryptoprocta ferox,fossa,Description
Tremarctos ornatus,spectacled bear,Description
Rhinoceros unicornis,greater Indian rhinoceros,Description
Piliocolobus tephrosceles,Ugandan red Colobus,Description
Mus caroli,Ryukyu mouse,Description
Mastomys coucha,southern multimammate mouse,Description
Mus pahari,shrew mouse,Description
Pusa sibirica,Baikal seal,Description
Bos taurus x Bison bison,beefalo,Description
Bos gaurus x Bos taurus,hybrid cow,Description
Onychomys arenicola,Chihuahuan grasshopper mouse,Description
Muntiacus crinifrons,black muntjac,Description
Hexaprotodon liberiensis,pygmy hippopotamus,Description
Onychomys leucogaster,northern grasshopper mouse,Description
Colobus guereza,mantled guereza,Description
Dasyurus viverrinus,eastern quoll,Description
Giraffa camelopardalis rothschildi,,Description
Saguinus midas,Midas tamarin,Description
Pteropus rufus,Malagasy flying fox,Description
Hydropotes inermis,Chinese water deer,Description
Eidolon dupreanum,Malagasy straw-colored fruit bat,Description
Chrysocyon brachyurus,maned wolf,Description
Miopithecus talapoin,talapoin,Description
Helarctos malayanus,Malayan sun bear,Description
Gracilinanus agilis,Agile Gracile Mouse Opossum,Description
Potos flavus,kinkajou,Description
Nasua narica,White-nosed coati,Description
Rousettus madagascariensis,Madagascan rousette,Description
Arctocephalus townsendi,Guadalupe fur seal,Description
Trachops cirrhosus,,Description
Steno bredanensis,rough-toothed dolphin,Description
Sylvilagus bachmani,brush rabbit,Description
Xerus rutilus,unstriped ground squirrel,Description
Lagorchestes hirsutus,rufous hare-wallaby,Description
Leontopithecus rosalia,golden lion tamarin,Description
