accession,tax_id,organism_name,common_name,fasta_url_download
GCF_000001405.40,9606,Homo sapiens,human,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001405.40/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Homosapiens.zip"
GCF_000001635.27,10090,Mus musculus,house mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001635.27/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Musmusculus.zip"
GCF_019923935.1,89462,Bubalus bubalis,water buffalo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_019923935.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bubalusbubalis.zip"
GCA_023701655.1,2918886,Ovis ammon polii x Ovis aries,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_023701655.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=OvisammonpoliixOvisaries.zip"
GCA_032405125.1,34865,Capricornis sumatraensis,Sumatran serow,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032405125.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Capricornissumatraensis.zip"
GCA_907164505.1,83762,Acomys kempi,Kemp's spiny mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_907164505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acomyskempi.zip"
GCF_015227675.2,10116,Rattus norvegicus,Norway rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_015227675.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rattusnorvegicus.zip"
GCF_000003025.6,9823,Sus scrofa,pig,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000003025.6/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Susscrofa.zip"
GCF_002263795.3,9913,Bos taurus,cattle,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002263795.3/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bostaurus.zip"
GCF_011100685.1,9615,Canis lupus familiaris,dog,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011100685.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Canislupusfamiliaris.zip"
GCF_003254725.2,286419,Canis lupus dingo,dingo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003254725.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Canislupusdingo.zip"
GCF_003339765.1,9544,Macaca mulatta,Rhesus monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003339765.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macacamulatta.zip"
GCF_016772045.1,9940,Ovis aries,sheep,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016772045.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ovisaries.zip"
GCF_001704415.2,9925,Capra hircus,goat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001704415.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Caprahircus.zip"
